learning_rate,max_depth,n_estimators,min_child_weight,avg_mae,avg_dir_acc
0.1,3,200,3,66.09,0.9203333333333333
0.05,3,200,1,66.35333333333334,0.9248
0.1,3,200,1,66.45333333333333,0.9216666666666665
0.1,3,200,5,66.91266666666667,0.9206
0.05,3,150,1,67.03066666666668,0.9237333333333333
0.1,3,150,3,67.194,0.9184666666666667
0.05,3,200,5,67.24,0.9208666666666666
0.1,3,150,1,67.25066666666667,0.9207333333333333
0.05,3,200,3,67.35,0.9185333333333333
0.05,3,150,5,67.77533333333332,0.9198
0.1,3,150,5,67.79733333333333,0.9199333333333334
0.1,3,100,3,67.94066666666667,0.9183999999999998
0.05,3,150,3,67.94066666666667,0.9186666666666667
0.1,5,200,1,68.11,0.9177333333333334
0.1,3,100,1,68.13333333333334,0.9193333333333333
0.1,5,150,1,68.13933333333334,0.9181333333333334
0.1,5,100,1,68.25866666666667,0.9174666666666668
0.1,3,100,5,68.27066666666666,0.9226666666666666
0.05,3,100,1,68.734,0.9184666666666667
0.05,5,150,5,68.96,0.911
0.05,5,200,5,68.97333333333333,0.9130666666666666
0.1,5,150,3,69.152,0.9088666666666666
0.1,5,100,3,69.19999999999999,0.9091333333333332
0.05,3,100,5,69.20333333333333,0.9175333333333334
0.1,5,200,3,69.274,0.9086666666666666
0.05,5,100,5,69.34066666666666,0.9140666666666667
0.05,5,200,1,69.48799999999999,0.9152666666666667
0.05,3,100,3,69.55133333333333,0.9170666666666666
0.05,5,150,1,69.586,0.9159333333333333
0.05,5,200,3,69.81066666666666,0.9117333333333333
0.05,5,150,3,69.86266666666667,0.9127333333333333
0.1,5,100,5,70.06933333333333,0.9166
0.1,5,200,5,70.124,0.9155333333333333
0.1,5,150,5,70.16466666666666,0.9170666666666666
0.05,5,100,1,70.27600000000001,0.9147333333333334
0.05,5,100,3,70.30066666666667,0.9117999999999999
0.1,7,150,1,70.39533333333333,0.9129333333333335
0.1,7,200,1,70.408,0.9129333333333335
0.1,7,100,1,70.48466666666666,0.9127333333333333
0.1,7,200,5,70.76133333333333,0.9128
0.1,7,150,5,70.76400000000001,0.9133333333333334
0.1,7,100,5,70.77466666666668,0.9159333333333334
0.05,7,200,1,70.96999999999998,0.9138666666666667
0.05,7,150,1,71.03133333333334,0.9129333333333333
0.05,7,100,1,71.56733333333334,0.9137999999999998
0.05,7,150,5,72.20400000000001,0.9084
0.05,7,200,5,72.33466666666666,0.9091999999999999
0.05,7,150,3,72.51733333333333,0.9087999999999999
0.05,7,100,5,72.526,0.9117999999999999
0.1,7,150,3,72.55799999999999,0.9063333333333333
0.1,7,200,3,72.568,0.9071999999999999
0.05,7,200,3,72.59933333333333,0.9092666666666668
0.1,7,100,3,72.62266666666666,0.9072666666666667
0.05,7,100,3,72.78466666666667,0.9099999999999998
0.01,5,200,1,77.926,0.8818666666666667
0.01,5,200,3,77.944,0.8823333333333333
0.01,5,200,5,78.14933333333333,0.8823333333333334
0.01,7,200,5,80.32666666666667,0.8772666666666668
0.01,7,200,1,80.41933333333333,0.8757999999999999
0.01,7,200,3,80.77,0.8783333333333334
0.01,3,200,5,81.00466666666667,0.8798666666666667
0.01,3,200,3,81.04933333333334,0.8801333333333333
0.01,3,200,1,81.16466666666666,0.8795999999999999
0.01,5,150,5,88.50866666666667,0.8646666666666668
0.01,5,150,3,88.50866666666667,0.8584666666666667
0.01,5,150,1,88.59733333333332,0.8527333333333332
0.01,7,150,5,89.64066666666668,0.8616666666666667
0.01,7,150,3,90.05400000000002,0.8562666666666666
0.01,7,150,1,90.13533333333334,0.8477333333333333
0.01,3,150,5,92.07666666666667,0.8678666666666667
0.01,3,150,3,92.18133333333334,0.8637333333333332
0.01,3,150,1,92.24000000000001,0.8637333333333332
0.01,7,100,5,116.318,0.7761333333333335
0.01,5,100,1,116.41133333333335,0.7813333333333333
0.01,5,100,5,116.43933333333335,0.7779333333333334
0.01,7,100,3,116.49,0.7822
0.01,7,100,1,116.62800000000003,0.7792666666666667
0.01,5,100,3,116.66666666666669,0.7820666666666667
0.01,3,100,5,120.526,0.7656
0.01,3,100,3,120.58466666666668,0.7682666666666668
0.01,3,100,1,120.63733333333333,0.7578666666666667
